UZA,Modes,Month,Trips
"Allentown, PA-NJ",MB,2/1/2020 0:00,351992
"Allentown, PA-NJ",MB,3/1/2020 0:00,257991
"Allentown, PA-NJ",MB,4/1/2020 0:00,144324
"Allentown, PA-NJ",MB,5/1/2020 0:00,177544
"Allentown, PA-NJ",MB,6/1/2020 0:00,224299
"Allentown, PA-NJ",MB,7/1/2020 0:00,251149
"Allentown, PA-NJ",MB,8/1/2020 0:00,251444
"Allentown, PA-NJ",MB,9/1/2020 0:00,254317
"Altoona, PA",DR,1/1/2019 0:00,918
"Altoona, PA",DR,2/1/2019 0:00,826
"Altoona, PA",DR,3/1/2019 0:00,977
"Altoona, PA",DR,4/1/2019 0:00,958
"Altoona, PA",DR,5/1/2019 0:00,943
"Altoona, PA",DR,6/1/2019 0:00,751
"Altoona, PA",DR,7/1/2019 0:00,705
"Altoona, PA",DR,8/1/2019 0:00,688
"Altoona, PA",DR,9/1/2019 0:00,601
"Altoona, PA",DR,10/1/2019 0:00,828
"Altoona, PA",DR,11/1/2019 0:00,699
"Altoona, PA",DR,12/1/2019 0:00,721
"Altoona, PA",DR,1/1/2020 0:00,742
"Altoona, PA",DR,2/1/2020 0:00,666
"Altoona, PA",DR,3/1/2020 0:00,459
"Altoona, PA",DR,4/1/2020 0:00,168
"Altoona, PA",DR,5/1/2020 0:00,270
"Altoona, PA",DR,6/1/2020 0:00,319
"Altoona, PA",DR,7/1/2020 0:00,538
"Altoona, PA",DR,8/1/2020 0:00,500
"Altoona, PA",DR,9/1/2020 0:00,457
"Altoona, PA",MB,1/1/2019 0:00,48019
"Altoona, PA",MB,2/1/2019 0:00,47017
"Altoona, PA",MB,3/1/2019 0:00,50655
"Altoona, PA",MB,4/1/2019 0:00,55018
"Altoona, PA",MB,5/1/2019 0:00,46149
"Altoona, PA",MB,6/1/2019 0:00,34301
"Altoona, PA",MB,7/1/2019 0:00,34965
"Altoona, PA",MB,8/1/2019 0:00,42225
"Altoona, PA",MB,9/1/2019 0:00,49322
"Altoona, PA",MB,10/1/2019 0:00,54213
"Altoona, PA",MB,11/1/2019 0:00,47014
"Altoona, PA",MB,12/1/2019 0:00,42843
"Altoona, PA",MB,1/1/2020 0:00,45857
"Altoona, PA",MB,2/1/2020 0:00,47060
"Altoona, PA",MB,3/1/2020 0:00,30531
"Altoona, PA",MB,4/1/2020 0:00,18211
"Altoona, PA",MB,5/1/2020 0:00,21328
"Altoona, PA",MB,6/1/2020 0:00,26068
"Altoona, PA",MB,7/1/2020 0:00,24837
"Altoona, PA",MB,8/1/2020 0:00,24196
"Altoona, PA",MB,9/1/2020 0:00,29889
"Ames, IA",DR,1/1/2019 0:00,650
"Ames, IA",DR,2/1/2019 0:00,745
"Ames, IA",DR,3/1/2019 0:00,772
"Ames, IA",DR,4/1/2019 0:00,801
"Ames, IA",DR,5/1/2019 0:00,730
"Ames, IA",DR,6/1/2019 0:00,756
"Ames, IA",DR,7/1/2019 0:00,19405
"Ames, IA",DR,8/1/2019 0:00,22268
"Ames, IA",DR,9/1/2019 0:00,19323
"Ames, IA",DR,10/1/2019 0:00,21763
"Ames, IA",DR,11/1/2019 0:00,17377
"Ames, IA",DR,12/1/2019 0:00,17709
"Ames, IA",DR,1/1/2020 0:00,19415
"Ames, IA",DR,2/1/2020 0:00,18979
"Ames, IA",DR,3/1/2020 0:00,11401
"Ames, IA",DR,4/1/2020 0:00,2956
"Ames, IA",DR,5/1/2020 0:00,3174
"Ames, IA",DR,6/1/2020 0:00,3916
"Ames, IA",DR,7/1/2020 0:00,4259
"Ames, IA",DR,8/1/2020 0:00,3958
"Ames, IA",DR,9/1/2020 0:00,4497
"Ames, IA",MB,1/1/2019 0:00,477186
"Ames, IA",MB,2/1/2019 0:00,800107
"Ames, IA",MB,3/1/2019 0:00,595122
"Ames, IA",MB,4/1/2019 0:00,677166
"Ames, IA",MB,5/1/2019 0:00,241343
"Ames, IA",MB,6/1/2019 0:00,128673
"Ames, IA",MB,7/1/2019 0:00,101128
"Ames, IA",MB,8/1/2019 0:00,268975
"Ames, IA",MB,9/1/2019 0:00,694369
"Ames, IA",MB,10/1/2019 0:00,792177
"Ames, IA",MB,11/1/2019 0:00,577192
"Ames, IA",MB,12/1/2019 0:00,472235
"Ames, IA",MB,1/1/2020 0:00,542882
"Ames, IA",MB,2/1/2020 0:00,720228
"Ames, IA",MB,3/1/2020 0:00,327808
"Ames, IA",MB,4/1/2020 0:00,20187
"Ames, IA",MB,5/1/2020 0:00,23440
"Ames, IA",MB,6/1/2020 0:00,29043
"Ames, IA",MB,7/1/2020 0:00,28250
"Ames, IA",MB,8/1/2020 0:00,184736
"Ames, IA",MB,9/1/2020 0:00,232111
"Anchorage, AK",AR,1/1/2019 0:00,1155
"Anchorage, AK",AR,2/1/2019 0:00,2610
"Anchorage, AK",AR,3/1/2019 0:00,3599
"Anchorage, AK",AR,4/1/2019 0:00,810
"Anchorage, AK",AR,5/1/2019 0:00,17369
"Anchorage, AK",AR,6/1/2019 0:00,45352
"Anchorage, AK",AR,7/1/2019 0:00,57123
"Anchorage, AK",AR,8/1/2019 0:00,49554
"Anchorage, AK",AR,9/1/2019 0:00,20597
"Anchorage, AK",AR,10/1/2019 0:00,1053
"Anchorage, AK",AR,11/1/2019 0:00,1218
"Anchorage, AK",AR,12/1/2019 0:00,2927
"Anchorage, AK",AR,1/1/2020 0:00,1089
"Anchorage, AK",AR,2/1/2020 0:00,2054
"Anchorage, AK",AR,3/1/2020 0:00,1774
"Anchorage, AK",AR,4/1/2020 0:00,14
"Anchorage, AK",AR,5/1/2020 0:00,76
"Anchorage, AK",AR,6/1/2020 0:00,89
"Anchorage, AK",AR,7/1/2020 0:00,11685
"Anchorage, AK",AR,8/1/2020 0:00,10016
"Anchorage, AK",AR,9/1/2020 0:00,3671
"Anchorage, AK",DR,1/1/2019 0:00,11117
"Anchorage, AK",DR,2/1/2019 0:00,10057
"Anchorage, AK",DR,3/1/2019 0:00,10997
"Anchorage, AK",DR,4/1/2019 0:00,11827
"Anchorage, AK",DR,5/1/2019 0:00,12009
"Anchorage, AK",DR,6/1/2019 0:00,10680
"Anchorage, AK",DR,7/1/2019 0:00,11131
"Anchorage, AK",DR,8/1/2019 0:00,11453
"Anchorage, AK",DR,9/1/2019 0:00,10585
"Anchorage, AK",DR,10/1/2019 0:00,11857
"Anchorage, AK",DR,11/1/2019 0:00,9624
"Anchorage, AK",DR,12/1/2019 0:00,10119
"Anchorage, AK",DR,1/1/2020 0:00,10771
"Anchorage, AK",DR,2/1/2020 0:00,10751
"Anchorage, AK",DR,3/1/2020 0:00,7903
"Anchorage, AK",DR,4/1/2020 0:00,6680
"Anchorage, AK",DR,5/1/2020 0:00,7695
"Anchorage, AK",DR,6/1/2020 0:00,4438
"Anchorage, AK",DR,7/1/2020 0:00,4744
"Anchorage, AK",DR,8/1/2020 0:00,4655
"Anchorage, AK",DR,9/1/2020 0:00,5083
"Anchorage, AK",MB,1/1/2019 0:00,251308
"Anchorage, AK",MB,2/1/2019 0:00,257612
"Anchorage, AK",MB,3/1/2019 0:00,283378
"Anchorage, AK",MB,4/1/2019 0:00,301596
"Anchorage, AK",MB,5/1/2019 0:00,309193
"Anchorage, AK",MB,6/1/2019 0:00,293372
"Anchorage, AK",MB,7/1/2019 0:00,296997
"Anchorage, AK",MB,8/1/2019 0:00,319232
"Anchorage, AK",MB,9/1/2019 0:00,284089
"Anchorage, AK",MB,10/1/2019 0:00,311122
"Anchorage, AK",MB,11/1/2019 0:00,248068
"Anchorage, AK",MB,12/1/2019 0:00,254141
"Anchorage, AK",MB,1/1/2020 0:00,254538
"Anchorage, AK",MB,2/1/2020 0:00,273999
"Anchorage, AK",MB,3/1/2020 0:00,234689
"Anchorage, AK",MB,4/1/2020 0:00,38784
"Anchorage, AK",MB,5/1/2020 0:00,0
"Anchorage, AK",MB,6/1/2020 0:00,121059
"Anchorage, AK",MB,7/1/2020 0:00,142296
"Anchorage, AK",MB,8/1/2020 0:00,133934
"Anchorage, AK",MB,9/1/2020 0:00,134426
"Anchorage, AK",VP,1/1/2019 0:00,18002
"Anchorage, AK",VP,2/1/2019 0:00,16641
"Anchorage, AK",VP,3/1/2019 0:00,18002
"Anchorage, AK",VP,4/1/2019 0:00,17267
"Anchorage, AK",VP,5/1/2019 0:00,19746
"Anchorage, AK",VP,6/1/2019 0:00,16537
"Anchorage, AK",VP,7/1/2019 0:00,17085
"Anchorage, AK",VP,8/1/2019 0:00,17847
"Anchorage, AK",VP,9/1/2019 0:00,17020
"Anchorage, AK",VP,10/1/2019 0:00,18029
"Anchorage, AK",VP,11/1/2019 0:00,17299
"Anchorage, AK",VP,12/1/2019 0:00,15365
"Anchorage, AK",VP,1/1/2020 0:00,18521
"Anchorage, AK",VP,2/1/2020 0:00,17029
